symbol,date,release_time
BCS,2019-10-25,bmo
WY,2019-10-25,bmo
ITW,2019-10-25,bmo
PSXP,2019-10-25,bmo
GBX,2019-10-25,bmo
GT,2019-10-25,bmo
SJR,2019-10-25,bmo
CHTR,2019-10-25,bmo
UFS,2019-10-25,bmo
YNDX,2019-10-25,bmo
BEN,2019-10-25,bmo
LEA,2019-10-25,bmo
SCCO,2019-10-25,--
AON,2019-10-25,bmo
ALV,2019-10-25,bmo
KEX,2019-10-25,bmo
B,2019-10-25,bmo
ROCK,2019-10-25,bmo
PFS,2019-10-25,bmo
GVA,2019-10-25,bmo
LKFN,2019-10-25,bmo
SBSI,2019-10-25,bmo
VLRS,2019-10-25,amc
TILE,2019-10-25,bmo
WETF,2019-10-25,bmo
VRTS,2019-10-25,bmo
ABTX,2019-10-25,bmo
PGC,2019-10-25,--
THFF,2019-10-25,--
MNOV,2019-10-25,--
CIVB,2019-10-25,bmo
MPB,2019-10-25,--
SBBX,2019-10-25,--
CVEO,2019-10-25,bmo
SAL,2019-10-25,--
IBN,2019-10-26,--
ON,2019-10-27,bmo
LPT,2019-10-27,bmo
T,2019-10-28,bmo
GOOGL,2019-10-28,amc
EPD,2019-10-28,bmo
GOOG,2019-10-28,amc
WBA,2019-10-28,bmo
CRSP,2019-10-28,--
XPO,2019-10-28,amc
GRUB,2019-10-28,bmo
SPOT,2019-10-28,bmo
AVX,2019-10-28,bmo
AKAM,2019-10-28,amc
TMUS,2019-10-28,amc
WELL,2019-10-28,amc
NXPI,2019-10-28,amc
RIG,2019-10-28,amc
ARLP,2019-10-28,bmo
MEDP,2019-10-28,amc
AROC,2019-10-28,amc
HSII,2019-10-28,amc
CGNX,2019-10-28,amc
HSBC,2019-10-28,bmo
MCY,2019-10-28,bmo
HLIT,2019-10-28,amc
LEG,2019-10-28,amc
TREX,2019-10-28,amc
DTE,2019-10-28,bmo
CR,2019-10-28,amc
NOV,2019-10-28,amc
APPF,2019-10-28,amc
CTB,2019-10-28,bmo
EHC,2019-10-28,amc
ARE,2019-10-28,amc
CHKP,2019-10-28,bmo
BRX,2019-10-28,amc
AMKR,2019-10-28,amc
QSR,2019-10-28,bmo
DO,2019-10-28,bmo
TXRH,2019-10-28,amc
WIRE,2019-10-28,amc
WCN,2019-10-28,amc
AMG,2019-10-28,bmo
L,2019-10-28,bmo
AVB,2019-10-28,amc
DORM,2019-10-28,bmo
QURE,2019-10-28,--
OFIX,2019-10-28,amc
CAJ,2019-10-28,bmo
SBAC,2019-10-28,amc
VNO,2019-10-28,amc
CNA,2019-10-28,bmo
RE,2019-10-28,amc
BRO,2019-10-28,amc
GDI,2019-10-28,amc
HTA,2019-10-28,amc
OMF,2019-10-28,amc
BYND,2019-10-28,amc
OGS,2019-10-28,amc
AWI,2019-10-28,bmo
BLKB,2019-10-28,amc
SSD,2019-10-28,amc
BOH,2019-10-28,bmo
JBT,2019-10-28,amc
OFC,2019-10-28,amc
TCF,2019-10-28,amc
PCH,2019-10-28,amc
SSB,2019-10-28,amc
SANM,2019-10-28,amc
VRNS,2019-10-28,amc
ROIC,2019-10-28,amc
HTLF,2019-10-28,amc
NBTB,2019-10-28,--
INST,2019-10-28,amc
PRK,2019-10-28,--
BHLB,2019-10-28,amc
TRTX,2019-10-28,amc
OI,2019-10-28,amc
TCBK,2019-10-28,--
TBI,2019-10-28,amc
GABC,2019-10-28,--
CKH,2019-10-28,--
OPB,2019-10-28,bmo
CPAC,2019-10-28,amc
AMAL,2019-10-28,bmo
HEXO,2019-10-28,amc
SBT,2019-10-28,amc
NXE,2019-10-28,--
CSV,2019-10-28,amc
KNSA,2019-10-28,--
BCML,2019-10-28,--
NRIM,2019-10-28,--
CBFV,2019-10-28,--
IVAC,2019-10-28,amc
LXU,2019-10-28,amc
CZWI,2019-10-28,--
SBFG,2019-10-28,amc
AGRX,2019-10-28,--
AMD,2019-10-29,amc
BP,2019-10-29,bmo
MA,2019-10-29,bmo
PFE,2019-10-29,bmo
GM,2019-10-29,bmo
MRK,2019-10-29,bmo
SHOP,2019-10-29,bmo
AMGN,2019-10-29,amc
AMED,2019-10-29,amc
HCA,2019-10-29,bmo
MOH,2019-10-29,amc
EA,2019-10-29,amc
COP,2019-10-29,bmo
FEYE,2019-10-29,amc
NOA,2019-10-29,amc
VSH,2019-10-29,bmo
PAYC,2019-10-29,amc
AJRD,2019-10-29,--
CMI,2019-10-29,bmo
OKE,2019-10-29,amc
GLW,2019-10-29,bmo
I,2019-10-29,bmo
ZBRA,2019-10-29,bmo
HSC,2019-10-29,bmo
NEO,2019-10-29,bmo
ZEN,2019-10-29,amc
AOS,2019-10-29,bmo
VNOM,2019-10-29,amc
NBR,2019-10-29,amc
XRX,2019-10-29,bmo
INCY,2019-10-29,bmo
SYK,2019-10-29,amc
EXAS,2019-10-29,amc
VSTM,2019-10-29,amc
K,2019-10-29,bmo
MTDR,2019-10-29,amc
HZO,2019-10-29,bmo
ETN,2019-10-29,bmo
KKR,2019-10-29,bmo
MDLZ,2019-10-29,amc
R,2019-10-29,bmo
ALL,2019-10-29,amc
DLR,2019-10-29,amc
FMC,2019-10-29,amc
HLF,2019-10-29,amc
EPR,2019-10-29,amc
LSCC,2019-10-29,amc
IR,2019-10-29,bmo
GNW,2019-10-29,amc
CNX,2019-10-29,bmo
AR,2019-10-29,amc
ENPH,2019-10-29,amc
ECL,2019-10-29,bmo
PAG,2019-10-29,bmo
EIX,2019-10-29,amc
IPGP,2019-10-29,bmo
AX,2019-10-29,amc
MKL,2019-10-29,amc
CAI,2019-10-29,amc
MAT,2019-10-29,amc
CXO,2019-10-29,amc
SLCA,2019-10-29,bmo
PSA,2019-10-29,amc
UNM,2019-10-29,amc
TX,2019-10-29,amc
IRDM,2019-10-29,bmo
CHE,2019-10-29,amc
MLM,2019-10-29,bmo
MXIM,2019-10-29,amc
ARAY,2019-10-29,amc
LDOS,2019-10-29,bmo
VRSK,2019-10-29,amc
YUMC,2019-10-29,amc
CB,2019-10-29,amc
AM,2019-10-29,amc
SPGI,2019-10-29,bmo
CEQP,2019-10-29,bmo
CNXM,2019-10-29,bmo
SAM,2019-10-29,amc
LNN,2019-10-29,bmo
SIMO,2019-10-29,amc
EME,2019-10-29,bmo
SGEN,2019-10-29,amc
CRVS,2019-10-29,amc
BXP,2019-10-29,amc
CHRW,2019-10-29,amc
AHT,2019-10-29,amc
SMPL,2019-10-29,bmo
CYH,2019-10-29,amc
EXR,2019-10-29,amc
AN,2019-10-29,bmo
NATI,2019-10-29,amc
DBD,2019-10-29,bmo
ACCO,2019-10-29,amc
MRCY,2019-10-29,amc
RGS,2019-10-29,bmo
MMC,2019-10-29,bmo
FMS,2019-10-29,bmo
ACGL,2019-10-29,amc
INVH,2019-10-29,amc
AGR,2019-10-29,amc
UDR,2019-10-29,amc
WAT,2019-10-29,bmo
FNF,2019-10-29,amc
IEX,2019-10-29,amc
SEOAY,2019-10-29,--
AFG,2019-10-29,amc
RNR,2019-10-29,amc
HUBB,2019-10-29,bmo
TECH,2019-10-29,bmo
AGCO,2019-10-29,bmo
REXR,2019-10-29,amc
WH,2019-10-29,bmo
AXS,2019-10-29,amc
WRI,2019-10-29,amc
BVN,2019-10-29,amc
EQC,2019-10-29,amc
NWE,2019-10-29,amc
MOR,2019-10-29,bmo
SHOO,2019-10-29,bmo
UMBF,2019-10-29,amc
IPHI,2019-10-29,amc
RXN,2019-10-29,amc
RPAI,2019-10-29,amc
ADSW,2019-10-29,amc
AAT,2019-10-29,amc
AIN,2019-10-29,amc
CIGI,2019-10-29,bmo
FELE,2019-10-29,bmo
PTCT,2019-10-29,amc
EURN,2019-10-29,bmo
TENB,2019-10-29,amc
EXLS,2019-10-29,bmo
CVLT,2019-10-29,bmo
TCO,2019-10-29,amc
APAM,2019-10-29,amc
FCPT,2019-10-29,amc
CAKE,2019-10-29,amc
MGRC,2019-10-29,amc
ATGE,2019-10-29,amc
MSTR,2019-10-29,amc
CSII,2019-10-29,amc
HURN,2019-10-29,amc
FCF,2019-10-29,amc
ILPT,2019-10-29,bmo
THRM,2019-10-29,bmo
WDR,2019-10-29,bmo
DENN,2019-10-29,amc
LBRT,2019-10-29,amc
NXRT,2019-10-29,bmo
BTU,2019-10-29,bmo
KAI,2019-10-29,amc
SILK,2019-10-29,amc
FSP,2019-10-29,amc
CCS,2019-10-29,amc
AMTB,2019-10-29,bmo
SYX,2019-10-29,amc
ASTE,2019-10-29,bmo
GLT,2019-10-29,bmo
OSPN,2019-10-29,amc
WTRE,2019-10-29,amc
ATEN,2019-10-29,amc
BBDC,2019-10-29,bmo
CCBG,2019-10-29,--
UFI,2019-10-29,bmo
PEI,2019-10-29,amc
HBCP,2019-10-29,--
RYI,2019-10-29,amc
RRBI,2019-10-29,--
GORO,2019-10-29,bmo
SPNE,2019-10-29,amc
MEC,2019-10-29,amc
TCS,2019-10-29,amc
FSTR,2019-10-29,amc
PROV,2019-10-29,bmo
SREV,2019-10-29,amc
BAYK,2019-10-29,--
CPSS,2019-10-29,bmo
BWEN,2019-10-29,bmo
SAVA,2019-10-29,--
ALIM,2019-10-29,amc
AAPL,2019-10-30,amc
FB,2019-10-30,amc
GE,2019-10-30,bmo
TWLO,2019-10-30,amc
SBUX,2019-10-30,amc
WDC,2019-10-30,amc
ETSY,2019-10-30,amc
SO,2019-10-30,bmo
SNE,2019-10-30,bmo
EXEL,2019-10-30,amc
CF,2019-10-30,amc
BOOT,2019-10-30,amc
NLY,2019-10-30,amc
CROX,2019-10-30,bmo
GSK,2019-10-30,--
MET,2019-10-30,amc
ARCC,2019-10-30,bmo
AGNC,2019-10-30,amc
CME,2019-10-30,bmo
TDOC,2019-10-30,amc
ALSN,2019-10-30,amc
MEOH,2019-10-30,amc
AKS,2019-10-30,amc
VRTX,2019-10-30,amc
APA,2019-10-30,amc
MLNX,2019-10-30,amc
QLYS,2019-10-30,amc
WMB,2019-10-30,amc
HABT,2019-10-30,amc
OLED,2019-10-30,amc
TOT,2019-10-30,bmo
AWK,2019-10-30,amc
WCG,2019-10-30,bmo
DDD,2019-10-30,amc
ADP,2019-10-30,bmo
ELY,2019-10-30,amc
UCTT,2019-10-30,amc
CATM,2019-10-30,amc
KLAC,2019-10-30,amc
CTSH,2019-10-30,amc
CREE,2019-10-30,amc
GRMN,2019-10-30,bmo
CIM,2019-10-30,bmo
MGM,2019-10-30,amc
LXFR,2019-10-30,amc
STAA,2019-10-30,amc
CHEF,2019-10-30,amc
SPWR,2019-10-30,amc
CACI,2019-10-30,amc
RCL,2019-10-30,bmo
SU,2019-10-30,amc
SKT,2019-10-30,amc
SPG,2019-10-30,bmo
HES,2019-10-30,bmo
CLH,2019-10-30,bmo
YUM,2019-10-30,bmo
ACAD,2019-10-30,amc
FOXF,2019-10-30,amc
TAP,2019-10-30,bmo
ZNGA,2019-10-30,amc
ETR,2019-10-30,bmo
COLM,2019-10-30,amc
MCK,2019-10-30,bmo
MASI,2019-10-30,amc
INVA,2019-10-30,--
WTI,2019-10-30,amc
SFM,2019-10-30,amc
RBBN,2019-10-30,amc
BAYRY,2019-10-30,--
IRMD,2019-10-30,bmo
MSI,2019-10-30,amc
HCC,2019-10-30,amc
CRUS,2019-10-30,amc
OSK,2019-10-30,bmo
QDEL,2019-10-30,amc
NYCB,2019-10-30,bmo
DAN,2019-10-30,bmo
CFMS,2019-10-30,amc
CHDN,2019-10-30,amc
SBRA,2019-10-30,bmo
KBR,2019-10-30,bmo
TREE,2019-10-30,amc
EVTC,2019-10-30,amc
EXTR,2019-10-30,bmo
STAG,2019-10-30,amc
AAWW,2019-10-30,bmo
PRAH,2019-10-30,amc
HUBG,2019-10-30,amc
IMMU,2019-10-30,amc
WING,2019-10-30,bmo
SKYW,2019-10-30,amc
BFAM,2019-10-30,amc
CLR,2019-10-30,amc
ECOL,2019-10-30,amc
MMSI,2019-10-30,amc
APTV,2019-10-30,bmo
TEL,2019-10-30,bmo
ENSG,2019-10-30,amc
HTGC,2019-10-30,amc
CODI,2019-10-30,amc
TKR,2019-10-30,amc
RDN,2019-10-30,amc
EQIX,2019-10-30,amc
MLCO,2019-10-30,bmo
AXTI,2019-10-30,amc
TGE,2019-10-30,bmo
RSG,2019-10-30,amc
VTVT,2019-10-30,--
FRT,2019-10-30,amc
BG,2019-10-30,bmo
LSI,2019-10-30,amc
EVA,2019-10-30,bmo
CSGS,2019-10-30,amc
HASI,2019-10-30,amc
AZPN,2019-10-30,amc
GLOP,2019-10-30,bmo
PPC,2019-10-30,amc
CONE,2019-10-30,amc
NE,2019-10-30,amc
WSR,2019-10-30,amc
LNC,2019-10-30,amc
WPX,2019-10-30,amc
INFI,2019-10-30,amc
ACIA,2019-10-30,--
TUP,2019-10-30,bmo
SAND,2019-10-30,amc
MAS,2019-10-30,bmo
GSS,2019-10-30,amc
BKCC,2019-10-30,amc
BLDP,2019-10-30,amc
PVG,2019-10-30,amc
CW,2019-10-30,amc
MCO,2019-10-30,bmo
RGA,2019-10-30,amc
FLS,2019-10-30,amc
IQV,2019-10-30,bmo
ARQL,2019-10-30,bmo
MC,2019-10-30,amc
SOI,2019-10-30,amc
HEP,2019-10-30,bmo
AGI,2019-10-30,amc
TTMI,2019-10-30,amc
VIAV,2019-10-30,amc
NI,2019-10-30,bmo
TEX,2019-10-30,amc
ATRC,2019-10-30,amc
MDCO,2019-10-30,bmo
XAN,2019-10-30,amc
NGHC,2019-10-30,amc
DIN,2019-10-30,bmo
SCI,2019-10-30,amc
CRY,2019-10-30,amc
JCAP,2019-10-30,amc
CORR,2019-10-30,amc
SP,2019-10-30,amc
NMRK,2019-10-30,bmo
EAT,2019-10-30,bmo
LM,2019-10-30,amc
LHX,2019-10-30,bmo
BKR,2019-10-30,bmo
ESALY,2019-10-30,--
MAA,2019-10-30,amc
TS,2019-10-30,amc
DRE,2019-10-30,amc
LYFT,2019-10-30,amc
BSAC,2019-10-30,bmo
REG,2019-10-30,amc
TYL,2019-10-30,amc
TRMB,2019-10-30,amc
PKI,2019-10-30,amc
SC,2019-10-30,bmo
ST,2019-10-30,bmo
H,2019-10-30,amc
SVCBY,2019-10-30,--
QGEN,2019-10-30,amc
ORCC,2019-10-30,amc
DT,2019-10-30,amc
SWI,2019-10-30,amc
LECO,2019-10-30,bmo
HPP,2019-10-30,bmo
PCTY,2019-10-30,amc
THG,2019-10-30,amc
JHG,2019-10-30,bmo
LFUS,2019-10-30,bmo
WYND,2019-10-30,bmo
NVT,2019-10-30,bmo
SIGI,2019-10-30,amc
UTHR,2019-10-30,bmo
CMPR,2019-10-30,amc
RYN,2019-10-30,amc
TRNO,2019-10-30,--
SITE,2019-10-30,bmo
NUVA,2019-10-30,amc
EQX,2019-10-30,amc
MUSA,2019-10-30,amc
LIVN,2019-10-30,bmo
WTS,2019-10-30,amc
CNMD,2019-10-30,amc
MANT,2019-10-30,amc
AXE,2019-10-30,bmo
SITC,2019-10-30,bmo
PDM,2019-10-30,amc
INT,2019-10-30,amc
ROG,2019-10-30,amc
SUM,2019-10-30,bmo
UE,2019-10-30,amc
INOV,2019-10-30,amc
PS,2019-10-30,amc
TMHC,2019-10-30,bmo
SAIA,2019-10-30,bmo
BDC,2019-10-30,bmo
AIT,2019-10-30,bmo
WHD,2019-10-30,amc
MDC,2019-10-30,amc
SPXC,2019-10-30,amc
SJW,2019-10-30,amc
CLI,2019-10-30,amc
NSA,2019-10-30,amc
FLOW,2019-10-30,bmo
EGHT,2019-10-30,amc
ACA,2019-10-30,amc
RWT,2019-10-30,amc
SKY,2019-10-30,amc
HTLD,2019-10-30,--
INSM,2019-10-30,bmo
FORM,2019-10-30,amc
EGOV,2019-10-30,amc
CBZ,2019-10-30,bmo
OII,2019-10-30,amc
TNC,2019-10-30,bmo
IRT,2019-10-30,amc
CNXN,2019-10-30,amc
ALG,2019-10-30,amc
SMP,2019-10-30,bmo
RPT,2019-10-30,amc
PJC,2019-10-30,bmo
KREF,2019-10-30,amc
EPZM,2019-10-30,--
CRTO,2019-10-30,bmo
VAL,2019-10-30,bmo
KFRC,2019-10-30,bmo
FARO,2019-10-30,amc
SRI,2019-10-30,amc
LIND,2019-10-30,bmo
MCRI,2019-10-30,--
GOOD,2019-10-30,amc
AEGN,2019-10-30,amc
MUX,2019-10-30,bmo
CERS,2019-10-30,amc
NR,2019-10-30,amc
FLIC,2019-10-30,--
HESM,2019-10-30,bmo
MYRG,2019-10-30,amc
DCO,2019-10-30,amc
RTRX,2019-10-30,amc
UIHC,2019-10-30,amc
MBIN,2019-10-30,--
ADTN,2019-10-30,amc
DGICA,2019-10-30,amc
DMRC,2019-10-30,amc
ATEC,2019-10-30,amc
HVT,2019-10-30,amc
WLDN,2019-10-30,amc
ORBC,2019-10-30,bmo
BHR,2019-10-30,amc
NWPX,2019-10-30,amc
SMLR,2019-10-30,amc
CDR,2019-10-30,amc
GHM,2019-10-30,bmo
BWFG,2019-10-30,--
LEVL,2019-10-30,--
KLDO,2019-10-30,--
KVHI,2019-10-30,bmo
MFIN,2019-10-30,amc
ORN,2019-10-30,amc
GPL,2019-10-30,amc
BANX,2019-10-30,amc
IO,2019-10-30,amc
ICAD,2019-10-30,bmo
PRGX,2019-10-30,amc
ZVO,2019-10-30,amc
APEN,2019-10-30,amc
AINC,2019-10-30,amc
ATOM,2019-10-30,amc
EKSO,2019-10-30,amc
SONM,2019-10-30,bmo
RAIL,2019-10-30,amc
WMLLF,2019-10-30,--
BAS,2019-10-30,amc
BMY,2019-10-31,bmo
MO,2019-10-31,bmo
CELG,2019-10-31,bmo
KHC,2019-10-31,bmo
ABMD,2019-10-31,bmo
ANET,2019-10-31,amc
ARCB,2019-10-31,amc
ADM,2019-10-31,bmo
RDS.A,2019-10-31,bmo
MPC,2019-10-31,bmo
CI,2019-10-31,bmo
FTNT,2019-10-31,amc
X,2019-10-31,amc
AYX,2019-10-31,amc
IP,2019-10-31,bmo
IRM,2019-10-31,bmo
NMM,2019-10-31,bmo
MIC,2019-10-31,amc
SIRI,2019-10-31,bmo
LITE,2019-10-31,bmo
ECA,2019-10-31,bmo
AMT,2019-10-31,bmo
MPW,2019-10-31,bmo
EXC,2019-10-31,bmo
CLX,2019-10-31,bmo
MPLX,2019-10-31,bmo
HBI,2019-10-31,bmo
STOR,2019-10-31,bmo
MMP,2019-10-31,bmo
CRC,2019-10-31,amc
SHLX,2019-10-31,amc
ICE,2019-10-31,bmo
HFC,2019-10-31,bmo
FNKO,2019-10-31,amc
CHD,2019-10-31,bmo
APRN,2019-10-31,bmo
SSNC,2019-10-31,amc
PH,2019-10-31,bmo
SHEN,2019-10-31,bmo
USM,2019-10-31,amc
GLPI,2019-10-31,amc
MTLS,2019-10-31,bmo
GNRC,2019-10-31,bmo
FCAU,2019-10-31,bmo
MTZ,2019-10-31,amc
EL,2019-10-31,bmo
W,2019-10-31,bmo
GPOR,2019-10-31,amc
MELI,2019-10-31,amc
CDW,2019-10-31,bmo
TDS,2019-10-31,amc
LOCO,2019-10-31,amc
WWE,2019-10-31,bmo
SNY,2019-10-31,bmo
MN,2019-10-31,bmo
APPN,2019-10-31,amc
BLUE,2019-10-31,--
BCE,2019-10-31,bmo
AFLYY,2019-10-31,--
IDXX,2019-10-31,bmo
NTDOY,2019-10-31,--
QRVO,2019-10-31,amc
ITGR,2019-10-31,bmo
DLPH,2019-10-31,bmo
MUR,2019-10-31,bmo
OSB,2019-10-31,bmo
YETI,2019-10-31,bmo
DNKN,2019-10-31,bmo
AMN,2019-10-31,amc
CG,2019-10-31,bmo
AT,2019-10-31,amc
APO,2019-10-31,bmo
CPG,2019-10-31,bmo
PENN,2019-10-31,bmo
EQT,2019-10-31,bmo
NNN,2019-10-31,bmo
LTC,2019-10-31,amc
CVE,2019-10-31,bmo
FLR,2019-10-31,bmo
VICI,2019-10-31,amc
BGS,2019-10-31,amc
CBL,2019-10-31,amc
BLL,2019-10-31,bmo
BWA,2019-10-31,bmo
XYL,2019-10-31,bmo
GOL,2019-10-31,bmo
MSCI,2019-10-31,bmo
PEG,2019-10-31,bmo
OLN,2019-10-31,amc
EGO,2019-10-31,amc
ICAGY,2019-10-31,--
ATI,2019-10-31,bmo
CAR,2019-10-31,amc
MGI,2019-10-31,bmo
NTLA,2019-10-31,bmo
CDNA,2019-10-31,amc
CFX,2019-10-31,bmo
LYV,2019-10-31,amc
ALNY,2019-10-31,bmo
WU,2019-10-31,amc
SNDR,2019-10-31,bmo
LKQ,2019-10-31,bmo
VET,2019-10-31,bmo
AME,2019-10-31,bmo
FLIR,2019-10-31,bmo
FNMA,2019-10-31,bmo
ACLS,2019-10-31,amc
SRDX,2019-10-31,amc
SM,2019-10-31,amc
YRCW,2019-10-31,bmo
NPTN,2019-10-31,amc
PMT,2019-10-31,amc
TEN,2019-10-31,bmo
AVP,2019-10-31,bmo
NVCR,2019-10-31,bmo
AKRX,2019-10-31,bmo
JCOM,2019-10-31,amc
RGEN,2019-10-31,bmo
WEX,2019-10-31,bmo
COR,2019-10-31,bmo
PWR,2019-10-31,bmo
BRKR,2019-10-31,amc
GPN,2019-10-31,bmo
USAK,2019-10-31,amc
TRI,2019-10-31,bmo
STFC,2019-10-31,bmo
CLDT,2019-10-31,bmo
SRCL,2019-10-31,bmo
PBF,2019-10-31,bmo
ZIXI,2019-10-31,bmo
NFG,2019-10-31,amc
EXP,2019-10-31,bmo
AGIO,2019-10-31,bmo
PCRFY,2019-10-31,--
IT,2019-10-31,bmo
CPLP,2019-10-31,bmo
FSS,2019-10-31,bmo
BLDR,2019-10-31,amc
SPR,2019-10-31,bmo
AMSF,2019-10-31,amc
AMOT,2019-10-31,amc
DD,2019-10-31,bmo
JAPAY,2019-10-31,--
DNZOY,2019-10-31,--
REPYY,2019-10-31,--
WLTW,2019-10-31,bmo
CTVA,2019-10-31,bmo
TFX,2019-10-31,bmo
WAB,2019-10-31,bmo
PINS,2019-10-31,amc
OTEX,2019-10-31,amc
CPT,2019-10-31,amc
BIO,2019-10-31,amc
BSMX,2019-10-31,amc
AIV,2019-10-31,amc
ATR,2019-10-31,amc
ARW,2019-10-31,bmo
SABR,2019-10-31,bmo
CFR,2019-10-31,bmo
INGR,2019-10-31,bmo
GIL,2019-10-31,bmo
SYNH,2019-10-31,bmo
TPX,2019-10-31,bmo
MAC,2019-10-31,bmo
ARES,2019-10-31,bmo
BLD,2019-10-31,bmo
HGV,2019-10-31,bmo
SEM,2019-10-31,--
CWT,2019-10-31,bmo
AAON,2019-10-31,amc
XHR,2019-10-31,bmo
PFSI,2019-10-31,amc
HTH,2019-10-31,amc
AMCX,2019-10-31,bmo
WCC,2019-10-31,bmo
PQG,2019-10-31,bmo
GOLF,2019-10-31,bmo
TPH,2019-10-31,bmo
CWST,2019-10-31,amc
PBH,2019-10-31,bmo
KNSL,2019-10-31,amc
NTCT,2019-10-31,bmo
MTX,2019-10-31,amc
IDCC,2019-10-31,bmo
IRWD,2019-10-31,bmo
MINI,2019-10-31,amc
EIDX,2019-10-31,--
MNTA,2019-10-31,bmo
FTAI,2019-10-31,amc
FFG,2019-10-31,amc
PBFX,2019-10-31,bmo
IMAX,2019-10-31,bmo
NEXA,2019-10-31,amc
MRC,2019-10-31,amc
COOP,2019-10-31,bmo
OEC,2019-10-31,amc
AHH,2019-10-31,bmo
NOVA,2019-10-31,bmo
WRLD,2019-10-31,bmo
FLWS,2019-10-31,bmo
MERC,2019-10-31,amc
LNTH,2019-10-31,bmo
MGPI,2019-10-31,bmo
STAR,2019-10-31,bmo
HMHC,2019-10-31,bmo
ALTM,2019-10-31,amc
BXG,2019-10-31,bmo
RMAX,2019-10-31,amc
SPAR,2019-10-31,bmo
CYTK,2019-10-31,amc
CTT,2019-10-31,amc
EIGI,2019-10-31,bmo
TGH,2019-10-31,amc
PDFS,2019-10-31,amc
ERII,2019-10-31,amc
MOBL,2019-10-31,amc
HRTG,2019-10-31,amc
CRAI,2019-10-31,bmo
FDUS,2019-10-31,amc
ARD,2019-10-31,bmo
CASA,2019-10-31,amc
MIXT,2019-10-31,bmo
SLCT,2019-10-31,--
MFNC,2019-10-31,--
ASPN,2019-10-31,amc
MNLO,2019-10-31,--
PXLW,2019-10-31,amc
FLL,2019-10-31,amc
ICD,2019-10-31,bmo
JCS,2019-10-31,--
ASLN,2019-10-31,--
ISDR,2019-10-31,amc
QUMU,2019-10-31,amc
SUNW,2019-10-31,bmo
PRTO,2019-10-31,--
PESX,2019-10-31,bmo
BIOVF,2019-10-31,--
BABA,2019-11-01,bmo
ABBV,2019-11-01,bmo
XOM,2019-11-01,bmo
CVX,2019-11-01,bmo
D,2019-11-01,bmo
ABR,2019-11-01,bmo
STX,2019-11-01,bmo
NWL,2019-11-01,bmo
MSEX,2019-11-01,--
TRP,2019-11-01,bmo
CL,2019-11-01,bmo
UUUU,2019-11-01,--
WPC,2019-11-01,bmo
HMSY,2019-11-01,bmo
LNG,2019-11-01,bmo
LYB,2019-11-01,bmo
AIG,2019-11-01,bmo
CCJ,2019-11-01,bmo
NVO,2019-11-01,bmo
CQP,2019-11-01,--
HE,2019-11-01,bmo
BAH,2019-11-01,bmo
AXL,2019-11-01,bmo
POR,2019-11-01,bmo
CBOE,2019-11-01,bmo
IMGN,2019-11-01,bmo
SRE,2019-11-01,bmo
HAE,2019-11-01,bmo
PBA,2019-11-01,bmo
FTS,2019-11-01,bmo
CIO,2019-11-01,bmo
CACC,2019-11-01,amc
AMAG,2019-11-01,bmo
WOW,2019-11-01,bmo
PRTS,2019-11-01,amc
OPI,2019-11-01,bmo
ITT,2019-11-01,bmo
ONCS,2019-11-01,--
IMO,2019-11-01,bmo
HRC,2019-11-01,bmo
RICOY,2019-11-01,--
MZDAY,2019-11-01,--
FND,2019-11-01,bmo
PNM,2019-11-01,bmo
ROLL,2019-11-01,bmo
MOG.A,2019-11-01,bmo
BHVN,2019-11-01,--
IBP,2019-11-01,bmo
MD,2019-11-01,bmo
MGLN,2019-11-01,bmo
RYTM,2019-11-01,--
RUTH,2019-11-01,bmo
XENT,2019-11-01,bmo
GSHD,2019-11-01,bmo
ASIX,2019-11-01,bmo
SNR,2019-11-01,bmo
TPB,2019-11-01,bmo
BBX,2019-11-01,bmo
BGG,2019-11-01,bmo
USX,2019-11-01,bmo
TWIN,2019-11-01,bmo
URG,2019-11-01,--
OIIM,2019-11-01,bmo
HSON,2019-11-01,bmo
PULM,2019-11-01,--
AEMD,2019-11-01,amc
BRK.B,2019-11-02,--
COHU,2019-11-03,bmo
BABA,2019-11-01,bmo
ABBV,2019-11-01,bmo
XOM,2019-11-01,bmo
CVX,2019-11-01,bmo
D,2019-11-01,bmo
ABR,2019-11-01,bmo
STX,2019-11-01,bmo
NWL,2019-11-01,bmo
MSEX,2019-11-01,--
TRP,2019-11-01,bmo
CL,2019-11-01,bmo
UUUU,2019-11-01,--
WPC,2019-11-01,bmo
HMSY,2019-11-01,bmo
LNG,2019-11-01,bmo
LYB,2019-11-01,bmo
AIG,2019-11-01,bmo
CCJ,2019-11-01,bmo
NVO,2019-11-01,bmo
CQP,2019-11-01,--
HE,2019-11-01,bmo
BAH,2019-11-01,bmo
AXL,2019-11-01,bmo
POR,2019-11-01,bmo
CBOE,2019-11-01,bmo
IMGN,2019-11-01,bmo
SRE,2019-11-01,bmo
HAE,2019-11-01,bmo
PBA,2019-11-01,bmo
FTS,2019-11-01,bmo
CIO,2019-11-01,bmo
CACC,2019-11-01,amc
AMAG,2019-11-01,bmo
WOW,2019-11-01,bmo
PRTS,2019-11-01,amc
OPI,2019-11-01,bmo
ITT,2019-11-01,bmo
ONCS,2019-11-01,--
IMO,2019-11-01,bmo
HRC,2019-11-01,bmo
RICOY,2019-11-01,--
MZDAY,2019-11-01,--
FND,2019-11-01,bmo
